site,out_L,pos,xs_N,xs_CN,CA,ei,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L
site_9,us_hx13,upstream,riffle,xs2,42.568412,0.03518928,0.817,0.36,3.456,1.486,4.895,4.23,29.638,29.722
site_9,us_hx13,upstream,pool,xs1,42.568412,0.03518928,1.101,0.53,4.332,2.475,3.659,3.935,29.941,29.756
site_9,ds_hx13,downstream,riffle,xs1,42.66919,0.03605174,1.148,0.629,5.133,3.816,3.599,4.471,29.923,29.732
site_9,ds_hx13,downstream,pool,xs2,42.66919,0.03605174,1.416,0.776,4.877,4.365,2.941,3.444,30.066,29.669
site_9,ds_hx13,downstream,riffle,xs3,42.66919,0.03605174,0.93,0.513,4.035,2.538,4.131,4.339,29.672,29.632
site_9,ds_hx13,downstream,pool,xs4,42.66919,0.03605174,1.217,0.784,3.933,3.504,3.116,3.232,29.53,29.721
site_9,ds_hx13,downstream,riffle,xs5,42.66919,0.03605174,0.905,0.475,6.908,3.463,3.707,7.633,29.655,30.12
site_9,ds_hx13,downstream,pool,xs6,42.66919,0.03605174,1.695,0.944,6.84,6.798,2.431,4.035,29.817,30.117
site_9,ds_hx13,downstream,riffle,xs7,42.66919,0.03605174,0.819,0.232,3.853,1.791,3.939,4.704,29.431,29.941
site_9,ds_hx13,downstream,pool,xs8,42.66919,0.03605174,2.281,1.257,7.277,8.898,1.885,3.19,29.918,29.794
site_10,us_hx14,upstream,pool,xs3,42.66919,0.03605174,1.826,1.098,5.311,7.207,2.093,2.909,29.522,29.676
site_10,us_hx14,upstream,riffle,xs2,42.66919,0.03605174,0.778,0.449,6.803,3.392,3.028,8.744,29.501,29.446
site_10,us_hx14,upstream,pool,xs1,42.66919,0.03605174,1.244,0.527,5.243,3.92,2.63,4.215,29.417,29.301
site_10,ds_hx14,downstream,pool,xs1,43.307658,0.04324101,0.644,0.365,7.903,3.064,5.606,12.272,29.2,29.377
site_10,ds_hx14,downstream,riffle,xs2,43.307658,0.04324101,0.986,0.288,4.786,1.574,3.662,4.854,29.041,28.892
site_10,ds_hx14,downstream,pool,xs3,43.307658,0.04324101,1.681,0.931,6.833,7.23,1.973,4.065,29.167,29.06
site_10,ds_hx14,downstream,riffle,xs4,43.307658,0.04324101,0.984,0.525,5.813,3.396,2.896,5.907,29.062,29.279
site_10,ds_hx14,downstream,pool,xs5,43.307658,0.04324101,1.847,0.957,5.694,5.767,1.785,3.083,29.198,29.167
